Count,Name,Position X,Position Y,Position Z,Rotation
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,180.0000,1428.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,324.0000,1428.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,612.0000,1572.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,36.0000,1428.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,468.0000,1428.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,828.0000,1853.7120,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,2472.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,612.0000,1428.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,708.0000,1853.7120,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,324.0000,1716.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,468.0000,1716.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,36.0000,1716.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,180.0000,1716.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,612.0000,1716.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,324.0000,1572.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,468.0000,1572.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,36.0000,1572.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,180.0000,1572.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,1896.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,1896.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,1992.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,1992.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1980.0000,1944.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,1800.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,1800.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,2052.0000,1944.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,2124.0000,1944.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,2376.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,2280.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,2472.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,2376.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,2280.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,2088.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,2088.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,2184.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,2184.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,612.0000,1860.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,4536.0000,2820.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,4656.0000,2820.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,4296.0000,2820.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,4416.0000,2820.0000,120.0000,0
